pokedex number,english name,katakana,romaji
#0810,Grookey,サルノリ,Sarunori
#0811,Thwackey,バチンキー,Bachinkī
#0812,Rillaboom,ゴリランダー,Gorirandā
#0813,Scorbunny,ヒバニー,Hibanī
#0814,Raboot,ラビフット,Rabifutto
#0815,Cinderace,エースバーン,Ēsubān
#0816,Sobble,メッソン,Messon
#0817,Drizzile,ジメレオン,Jimereon
#0818,Inteleon,インテレオン,Intereon
#0819,Skwovet,ホシガリス,Hoshigarisu
#0820,Greedent,ヨクバリス,Yokubarisu
#0821,Rookidee,ココガラ,Kokogara
#0822,Corvisquire,アオガラス,Aogarasu
#0823,Corviknight,アーマーガア,Āmāgā
#0824,Blipbug,サッチムシ,Satchimushi
#0825,Dottler,レドームシ,Redōmushi
#0826,Orbeetle,イオルブ,Iorubu
#0827,Nickit,クスネ,Kusune
#0828,Thievul,フォクスライ,Fokusurai
#0829,Gossifleur,ヒメンカ,Himenka
#0830,Eldegoss,ワタシラガ,Watashiraga
#0831,Wooloo,ウールー,Ūrū
#0832,Dubwool,バイウールー,Baiūrū
#0833,Chewtle,カムカメ,Kamukame
#0834,Drednaw,カジリガメ,Kajirigame
#0835,Yamper,ワンパチ,Wanpachi
#0836,Boltund,パルスワン,Parusuwan
#0837,Rolycoly,タンドン,Tandon
#0838,Carkol,トロッゴン,Toroggon
#0839,Coalossal,セキタンザン,Sekitanzan
#0840,Applin,カジッチュ,Kajitchu
#0841,Flapple,アップリュー,Appuryū
#0842,Appletun,タルップル,Taruppuru
#0843,Silicobra,スナヘビ,Sunahebi
#0844,Sandaconda,サダイジャ,Sadaija
#0845,Cramorant,ウッウ,U'u
#0846,Arrokuda,サシカマス,Sashikamasu
#0847,Barraskewda,カマスジョー,Kamasujō
#0848,Toxel,エレズン,Erezun
#0849,Toxtricity,ストリンダー,Sutorindā
#0850,Sizzlipede,ヤクデ,Yakude
#0851,Centiskorch,マルヤクデ,Maruyakude
#0852,Clobbopus,タタッコ,Tatakko
#0853,Grapploct,オトスパス,Otosupasu
#0854,Sinistea,ヤバチャ,Yabacha
#0855,Polteageist,ポットデス,Pottodesu
#0856,Hatenna,ミブリム,Miburimu
#0857,Hattrem,テブリム,Teburimu
#0858,Hatterene,ブリムオン,Burimuon
#0859,Impidimp,ベロバー,Berobā
#0860,Morgrem,ギモー,Gimō
#0861,Grimmsnarl,オーロンゲ,Ōronge
#0862,Obstagoon,タチフサグマ,Tachifusaguma
#0863,Perrserker,ニャイキング,Nyaikingu
#0864,Cursola,サニゴーン,Sanigōn
#0865,Sirfetch'd,ネギガナイト,Negiganaito
#0866,Mr. Rime,バリコオル,Barikōru
#0867,Runerigus,デスバーン,Desubān
#0868,Milcery,マホミル,Mahomiru
#0869,Alcremie,マホイップ,Mahoippu
#0870,Falinks,タイレーツ,Tairētsu
#0871,Pincurchin,バチンウニ,Bachin'uni
#0872,Snom,ユキハミ,Yukihami
#0873,Frosmoth,モスノウ,Mosunō
#0874,Stonjourner,イシヘンジン,Ishihenjin
#0875,Eiscue,コオリッポ,Kōrippo
#0876,Indeedee,イエッサン,Iessan
#0877,Morpeko,モルペコ,Morupeko
#0878,Cufant,ゾウドウ,Zōdō
#0879,Copperajah,ダイオウドウ,Daiōdō
#0880,Dracozolt,パッチラゴン,Patchiragon
#0881,Arctozolt,パッチルドン,Patchirudon
#0882,Dracovish,ウオノラゴン,Uonoragon
#0883,Arctovish,ウオチルドン,Uochirudon
#0884,Duraludon,ジュラルドン,Jurarudon
#0885,Dreepy,ドラメシヤ,Dorameshiya
#0886,Drakloak,ドロンチ,Doronchi
#0887,Dragapult,ドラパルト,Doraparuto
#0888,Zacian,ザシアン,Zashian
#0889,Zamazenta,ザマゼンタ,Zamazenta
#0890,Eternatus,ムゲンダイナ,Mugendaina
#0891,Kubfu,ダクマ,Dakuma
#0892,Urshifu,ウーラオス,Ūraosu
#0893,Zarude,ザルード,Zarūdo
#0894,Regieleki,レジエレキ,Rejiereki
#0895,Regidrago,レジドラゴ,Rejidorago
#0896,Glastrier,ブリザポス,Burizaposu
#0897,Spectrier,レイスポス,Reisuposu
#0898,Calyrex,バドレックス,Badorekkusu
#0899,Wyrdeer,アヤシシ,Ayashishi
#0900,Kleavor,バサギリ,Basagiri
#0901,Ursaluna,ガチグマ,Gachiguma
#0902,Basculegion,イダイトウ,Idaitō
#0903,Sneasler,オオニューラ,Ōnyūra
#0904,Overqwil,ハリーマン,Harīman
#0905,Enamorus,ラブトロス,Rabutorosu
