pokedex number,english name,katakana,romaji
#0650,Chespin,ハリマロン,Harimaron
#0651,Quilladin,ハリボーグ,Haribōgu
#0652,Chesnaught,ブリガロン,Burigaron
#0653,Fennekin,フォッコ,Fokko
#0654,Braixen,テールナー,Tērunā
#0655,Delphox,マフォクシー,Mafokushī
#0656,Froakie,ケロマツ,Keromatsu
#0657,Frogadier,ゲコガシラ,Gekogashira
#0658,Greninja,ゲッコウガ,Gekkōga
#0659,Bunnelby,ホルビー,Horubī
#0660,Diggersby,ホルード,Horūdo
#0661,Fletchling,ヤヤコマ,Yayakoma
#0662,Fletchinder,ヒノヤコマ,Hinoyakoma
#0663,Talonflame,ファイアロー,Faiarō
#0664,Scatterbug,コフキムシ,Kofukimushi
#0665,Spewpa,コフーライ,Kofūrai
#0666,Vivillon,ビビヨン,Bibiyon
#0667,Litleo,シシコ,Shishiko
#0668,Pyroar,カエンジシ,Kaenjishi
#0669,Flabébé,フラベベ,Furabebe
#0670,Floette,フラエッテ,Furaette
#0671,Florges,フラージェス,Furājesu
#0672,Skiddo,メェークル,Mēkuru
#0673,Gogoat,ゴーゴート,Gōgōto
#0674,Pancham,ヤンチャム,Yanchamu
#0675,Pangoro,ゴロンダ,Goronda
#0676,Furfrou,トリミアン,Torimian
#0677,Espurr,ニャスパー,Nyasupā
#0678,Meowstic,ニャオニクス,Nyaonikusu
#0679,Honedge,ヒトツキ,Hitotsuki
#0680,Doublade,ニダンギル,Nidangiru
#0681,Aegislash,ギルガルド,Girugarudo
#0682,Spritzee,シュシュプ,Shushupu
#0683,Aromatisse,フレフワン,Furefuwan
#0684,Swirlix,ペロッパフ,Peroppafu
#0685,Slurpuff,ペロリーム,Perorīmu
#0686,Inkay,マーイーカ,Māīka
#0687,Malamar,カラマネロ,Karamanero
#0688,Binacle,カメテテ,Kametete
#0689,Barbaracle,ガメノデス,Gamenodesu
#0690,Skrelp,クズモー,Kuzumō
#0691,Dragalge,ドラミドロ,Doramidoro
#0692,Clauncher,ウデッポウ,Udeppō
#0693,Clawitzer,ブロスター,Burosutā
#0694,Helioptile,エリキテル,Erikiteru
#0695,Heliolisk,エレザード,Erezādo
#0696,Tyrunt,チゴラス,Chigorasu
#0697,Tyrantrum,ガチゴラス,Gachigorasu
#0698,Amaura,アマルス,Amarusu
#0699,Aurorus,アマルルガ,Amaruruga
#0700,Sylveon,ニンフィア,Ninfia
#0701,Hawlucha,ルチャブル,Ruchaburu
#0702,Dedenne,デデンネ,Dedenne
#0703,Carbink,メレシー,Mereshī
#0704,Goomy,ヌメラ,Numera
#0705,Sliggoo,ヌメイル,Numeiru
#0706,Goodra,ヌメルゴン,Numerugon
#0707,Klefki,クレッフィ,Kureffi
#0708,Phantump,ボクレー,Bokurē
#0709,Trevenant,オーロット,Ōrotto
#0710,Pumpkaboo,バケッチャ,Baketcha
#0711,Gourgeist,パンプジン,Panpujin
#0712,Bergmite,カチコール,Kachikōru
#0713,Avalugg,クレベース,Kurebēsu
#0714,Noibat,オンバット,Onbatto
#0715,Noivern,オンバーン,Onbān
#0716,Xerneas,ゼルネアス,Zeruneasu
#0717,Yveltal,イベルタル,Iberutaru
#0718,Zygarde,ジガルデ,Jigarude
#0719,Diancie,ディアンシー,Dianshī
#0720,Hoopa,フーパ,Fūpa
#0721,Volcanion,ボルケニオン,Borukenion
