pokedex number,english name,katakana,romaji
#0387,Turtwig,ナエトル,Naetoru
#0388,Grotle,ハヤシガメ,Hayashigame
#0389,Torterra,ドダイトス,Dodaitosu
#0390,Chimchar,ヒコザル,Hikozaru
#0391,Monferno,モウカザル,Mōkazaru
#0392,Infernape,ゴウカザル,Gōkazaru
#0393,Piplup,ポッチャマ,Potchama
#0394,Prinplup,ポッタイシ,Pottaishi
#0395,Empoleon,エンペルト,Enperuto
#0396,Starly,ムックル,Mukkuru
#0397,Staravia,ムクバード,Mukubādo
#0398,Staraptor,ムクホーク,Mukuhōku
#0399,Bidoof,ビッパ,Bippa
#0400,Bibarel,ビーダル,Bīdaru
#0401,Kricketot,コロボーシ,Korobōshi
#0402,Kricketune,コロトック,Korotokku
#0403,Shinx,コリンク,Korinku
#0404,Luxio,ルクシオ,Rukushio
#0405,Luxray,レントラー,Rentorā
#0406,Budew,スボミー,Subomī
#0407,Roserade,ロズレイド,Rozureido
#0408,Cranidos,ズガイドス,Zugaidosu
#0409,Rampardos,ラムパルド,Ramuparudo
#0410,Shieldon,タテトプス,Tatetopusu
#0411,Bastiodon,トリデプス,Toridepusu
#0412,Burmy,ミノムッチ,Minomutchi
#0413,Wormadam,ミノマダム,Minomadamu
#0414,Mothim,ガーメイル,Gāmeiru
#0415,Combee,ミツハニー,Mitsuhanī
#0416,Vespiquen,ビークイン,Bīkuin
#0417,Pachirisu,パチリス,Pachirisu
#0418,Buizel,ブイゼル,Buizeru
#0419,Floatzel,フローゼル,Furōzeru
#0420,Cherubi,チェリンボ,Cherinbo
#0421,Cherrim,チェリム,Cherimu
#0422,Shellos,カラナクシ,Karanakushi
#0423,Gastrodon,トリトドン,Toritodon
#0424,Ambipom,エテボース,Etebōsu
#0425,Drifloon,フワンテ,Fuwante
#0426,Drifblim,フワライド,Fuwaraido
#0427,Buneary,ミミロル,Mimiroru
#0428,Lopunny,ミミロップ,Mimiroppu
#0429,Mismagius,ムウマージ,Mūmāji
#0430,Honchkrow,ドンカラス,Donkarasu
#0431,Glameow,ニャルマー,Nyarumā
#0432,Purugly,ブニャット,Bunyatto
#0433,Chingling,リーシャン,Rīshan
#0434,Stunky,スカンプー,Sukanpū
#0435,Skuntank,スカタンク,Sukatanku
#0436,Bronzor,ドーミラー,Dōmirā
#0437,Bronzong,ドータクン,Dōtakun
#0438,Bonsly,ウソハチ,Usohachi
#0439,Mime Jr.,マネネ,Manene
#0440,Happiny,ピンプク,Pinpuku
#0441,Chatot,ペラップ,Perappu
#0442,Spiritomb,ミカルゲ,Mikaruge
#0443,Gible,フカマル,Fukamaru
#0444,Gabite,ガバイト,Gabaito
#0445,Garchomp,ガブリアス,Gaburiasu
#0446,Munchlax,ゴンベ,Gonbe
#0447,Riolu,リオル,Rioru
#0448,Lucario,ルカリオ,Rukario
#0449,Hippopotas,ヒポポタス,Hipopotasu
#0450,Hippowdon,カバルドン,Kabarudon
#0451,Skorupi,スコルピ,Sukorupi
#0452,Drapion,ドラピオン,Dorapion
#0453,Croagunk,グレッグル,Guregguru
#0454,Toxicroak,ドクロッグ,Dokuroggu
#0455,Carnivine,マスキッパ,Masukippa
#0456,Finneon,ケイコウオ,Keiko'uo
#0457,Lumineon,ネオラント,Neoranto
#0458,Mantyke,タマンタ,Tamanta
#0459,Snover,ユキカブリ,Yukikaburi
#0460,Abomasnow,ユキノオー,Yukinoō
#0461,Weavile,マニューラ,Manyūra
#0462,Magnezone,ジバコイル,Jibakoiru
#0463,Lickilicky,ベロベルト,Beroberuto
#0464,Rhyperior,ドサイドン,Dosaidon
#0465,Tangrowth,モジャンボ,Mojanbo
#0466,Electivire,エレキブル,Erekiburu
#0467,Magmortar,ブーバーン,Būbān
#0468,Togekiss,トゲキッス,Togekissu
#0469,Yanmega,メガヤンマ,Megayanma
#0470,Leafeon,リーフィア,Rīfia
#0471,Glaceon,グレイシア,Gureishia
#0472,Gliscor,グライオン,Guraion
#0473,Mamoswine,マンムー,Manmū
#0474,Porygon-Z,ポリゴンＺ,Porigon Zetto
#0475,Gallade,エルレイド,Erureido
#0476,Probopass,ダイノーズ,Dainōzu
#0477,Dusknoir,ヨノワール,Yonowāru
#0478,Froslass,ユキメノコ,Yukimenoko
#0479,Rotom,ロトム,Rotomu
#0480,Uxie,ユクシー,Yukushī
#0481,Mesprit,エムリット,Emuritto
#0482,Azelf,アグノム,Agunomu
#0483,Dialga,ディアルガ,Diaruga
#0484,Palkia,パルキア,Parukia
#0485,Heatran,ヒードラン,Hīdoran
#0486,Regigigas,レジギガス,Rejigigasu
#0487,Giratina,ギラティナ,Giratina
#0488,Cresselia,クレセリア,Kureseria
#0489,Phione,フィオネ,Fione
#0490,Manaphy,マナフィ,Manafi
#0491,Darkrai,ダークライ,Dākurai
#0492,Shaymin,シェイミ,Sheimi
#0493,Arceus,アルセウス,Aruseusu
