pokedex number,english name,katakana,romaji
#0494,Victini,ビクティニ,Bikutini
#0495,Snivy,ツタージャ,Tsutāja
#0496,Servine,ジャノビー,Janobī
#0497,Serperior,ジャローダ,Jarōda
#0498,Tepig,ポカブ,Pokabu
#0499,Pignite,チャオブー,Chaobū
#0500,Emboar,エンブオー,Enbuō
#0501,Oshawott,ミジュマル,Mijumaru
#0502,Dewott,フタチマル,Futachimaru
#0503,Samurott,ダイケンキ,Daikenki
#0504,Patrat,ミネズミ,Minezumi
#0505,Watchog,ミルホッグ,Miruhoggu
#0506,Lillipup,ヨーテリー,Yōterī
#0507,Herdier,ハーデリア,Hāderia
#0508,Stoutland,ムーランド,Mūrando
#0509,Purrloin,チョロネコ,Choroneko
#0510,Liepard,レパルダス,Reparudasu
#0511,Pansage,ヤナップ,Yanappu
#0512,Simisage,ヤナッキー,Yanakkī
#0513,Pansear,バオップ,Baoppu
#0514,Simisear,バオッキー,Baokkī
#0515,Panpour,ヒヤップ,Hiyappu
#0516,Simipour,ヒヤッキー,Hiyakkī
#0517,Munna,ムンナ,Munna
#0518,Musharna,ムシャーナ,Mushāna
#0519,Pidove,マメパト,Mamepato
#0520,Tranquill,ハトーボー,Hatōbō
#0521,Unfezant,ケンホロウ,Kenhorō
#0522,Blitzle,シママ,Shimama
#0523,Zebstrika,ゼブライカ,Zeburaika
#0524,Roggenrola,ダンゴロ,Dangoro
#0525,Boldore,ガントル,Gantoru
#0526,Gigalith,ギガイアス,Gigaiasu
#0527,Woobat,コロモリ,Koromori
#0528,Swoobat,ココロモリ,Kokoromori
#0529,Drilbur,モグリュー,Moguryū
#0530,Excadrill,ドリュウズ,Doryūzu
#0531,Audino,タブンネ,Tabunne
#0532,Timburr,ドッコラー,Dokkorā
#0533,Gurdurr,ドテッコツ,Dotekkotsu
#0534,Conkeldurr,ローブシン,Rōbushin
#0535,Tympole,オタマロ,Otamaro
#0536,Palpitoad,ガマガル,Gamagaru
#0537,Seismitoad,ガマゲロゲ,Gamageroge
#0538,Throh,ナゲキ,Nageki
#0539,Sawk,ダゲキ,Dageki
#0540,Sewaddle,クルミル,Kurumiru
#0541,Swadloon,クルマユ,Kurumayu
#0542,Leavanny,ハハコモリ,Hahakomori
#0543,Venipede,フシデ,Fushide
#0544,Whirlipede,ホイーガ,Hoīga
#0545,Scolipede,ペンドラー,Pendorā
#0546,Cottonee,モンメン,Monmen
#0547,Whimsicott,エルフーン,Erufūn
#0548,Petilil,チュリネ,Churine
#0549,Lilligant,ドレディア,Doredia
#0550,Basculin,バスラオ,Basurao
#0551,Sandile,メグロコ,Meguroko
#0552,Krokorok,ワルビル,Warubiru
#0553,Krookodile,ワルビアル,Warubiaru
#0554,Darumaka,ダルマッカ,Darumakka
#0555,Darmanitan,ヒヒダルマ,Hihidaruma
#0556,Maractus,マラカッチ,Marakatchi
#0557,Dwebble,イシズマイ,Ishizumai
#0558,Crustle,イワパレス,Iwaparesu
#0559,Scraggy,ズルッグ,Zuruggu
#0560,Scrafty,ズルズキン,Zuruzukin
#0561,Sigilyph,シンボラー,Shinborā
#0562,Yamask,デスマス,Desumasu
